O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,C_MKTSEGMENT,C_ACCTBAL,C_REGION,TOTAL_QUANTITY,AVG_DISCOUNT,TOTAL_DISCOUNT_VALUE,ITEM_COUNT,MAX_SHIP_DELAY
2267810,149378,O,7355.06,1998-08-01,3-MEDIUM,AUTOMOBILE,4059.25,EUROPE,6.00,0.08000000,597.7296,1,15
4172196,98671,O,287895.13,1998-08-01,3-MEDIUM,FURNITURE,2129.90,AFRICA,163.00,0.05857143,17904.2029,7,26
5443904,147128,O,17921.87,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,3927.94,AMERICA,13.00,0.05000000,906.9775,1,12
5491431,54653,O,129043.65,1998-08-01,1-URGENT,HOUSEHOLD,3007.07,EUROPE,97.00,0.06000000,6128.1114,3,28
2836132,5116,O,21912.79,1998-08-01,1-URGENT,FURNITURE,-887.13,AMERICA,17.00,0.01000000,208.8127,1,27
2660390,63898,O,176275.57,1998-08-01,3-MEDIUM,FURNITURE,5490.83,AMERICA,128.00,0.04833333,8551.4070,6,28
724839,80161,O,47090.00,1998-08-01,3-MEDIUM,AUTOMOBILE,7899.47,AMERICA,36.00,0.00500000,243.0480,2,21
1195008,5824,O,154977.86,1998-08-01,3-MEDIUM,HOUSEHOLD,6105.60,ASIA,79.00,0.04000000,6986.9536,2,9
1587715,87209,O,55221.54,1998-08-01,2-HIGH,MACHINERY,4871.90,MIDDLE EAST,32.00,0.03000000,1642.1952,1,4
1799683,112243,O,144068.36,1998-08-01,3-MEDIUM,AUTOMOBILE,2780.20,AMERICA,93.00,0.04500000,6297.3764,4,30
4960738,86299,O,230351.77,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,4203.96,AFRICA,145.00,0.04000000,12080.6186,5,24
192901,7709,O,92365.51,1998-08-01,2-HIGH,AUTOMOBILE,4006.07,EUROPE,54.00,0.03333333,4209.4020,3,29
298752,28586,O,112792.25,1998-08-01,3-MEDIUM,HOUSEHOLD,-168.39,AFRICA,91.00,0.06500000,5427.6488,4,24
4397763,37025,O,101404.04,1998-08-01,2-HIGH,AUTOMOBILE,4213.33,AMERICA,70.00,0.04333333,4165.3650,3,28
3233223,104054,O,202847.29,1998-08-01,1-URGENT,AUTOMOBILE,3446.67,AFRICA,133.00,0.05200000,9471.9947,5,29
3559205,17275,O,122400.21,1998-08-01,5-LOW,AUTOMOBILE,-277.94,AFRICA,80.00,0.03666667,4927.6794,3,23
3813575,128599,O,324020.77,1998-08-01,2-HIGH,HOUSEHOLD,2392.01,MIDDLE EAST,200.00,0.04428571,16621.0321,7,27
1442598,36319,O,56180.27,1998-08-01,5-LOW,MACHINERY,-281.20,AMERICA,31.00,0.05000000,2763.4175,1,26
5077248,49622,O,139601.05,1998-08-01,2-HIGH,MACHINERY,5357.17,ASIA,112.00,0.02333333,2872.6983,3,24
157026,52298,O,68158.93,1998-08-01,4-NOT SPECIFIED,MACHINERY,8682.76,AFRICA,52.00,0.03333333,2160.5661,3,30
468131,110536,O,223406.94,1998-08-01,2-HIGH,HOUSEHOLD,8479.07,EUROPE,160.00,0.05285714,11447.9764,7,25
320326,38986,O,24049.28,1998-08-01,3-MEDIUM,HOUSEHOLD,7866.02,AFRICA,14.00,0.05000000,1217.0690,1,8
3082566,6844,O,90303.57,1998-08-01,2-HIGH,AUTOMOBILE,6663.09,EUROPE,56.00,0.05500000,6037.2495,2,29
3095333,17737,O,255085.33,1998-08-01,3-MEDIUM,BUILDING,9148.15,EUROPE,142.00,0.04428571,10169.2965,7,25
1835973,129718,O,26524.51,1998-08-01,1-URGENT,AUTOMOBILE,6399.78,ASIA,15.00,0.03000000,766.6785,1,9
2123111,113212,O,150484.58,1998-08-01,3-MEDIUM,BUILDING,-432.59,AFRICA,94.00,0.05833333,7676.4716,6,27
3755265,105967,O,25118.23,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,4858.79,AFRICA,13.00,0.03000000,776.8527,1,10
5892545,31793,O,366141.39,1998-08-01,4-NOT SPECIFIED,FURNITURE,9721.50,AFRICA,246.00,0.05000000,21864.2958,7,30
714150,93488,O,8359.31,1998-08-01,3-MEDIUM,AUTOMOBILE,5485.67,AMERICA,5.00,0.01000000,82.7820,1,9
1252481,24481,O,68678.34,1998-08-01,5-LOW,BUILDING,9902.67,ASIA,44.00,0.01000000,660.6864,1,20
5260483,36241,O,52140.21,1998-08-01,1-URGENT,MACHINERY,2697.55,AFRICA,45.00,0.08500000,4460.5510,2,8
5382694,145360,O,121597.44,1998-08-01,3-MEDIUM,AUTOMOBILE,-29.64,ASIA,96.00,0.03833333,4960.5242,6,27
4324708,135661,O,3279.27,1998-08-01,5-LOW,MACHINERY,5700.62,EUROPE,2.00,0.08000000,274.1872,1,29
4331206,138713,O,139992.15,1998-08-01,2-HIGH,MACHINERY,-5.61,MIDDLE EAST,95.00,0.08500000,12644.4250,2,27
4713060,37376,O,117251.39,1998-08-01,3-MEDIUM,BUILDING,7393.66,AMERICA,92.00,0.02000000,1757.9664,4,24
3854403,29006,O,150748.66,1998-08-01,2-HIGH,MACHINERY,841.16,EUROPE,107.00,0.01800000,2797.3474,5,16
5501346,144152,O,297631.68,1998-08-01,2-HIGH,FURNITURE,3321.20,AFRICA,191.00,0.07666667,20258.3554,6,26
2841888,138418,O,283245.80,1998-08-01,2-HIGH,MACHINERY,5078.89,MIDDLE EAST,187.00,0.05500000,16468.4011,6,30
2917665,1304,O,80812.77,1998-08-01,5-LOW,AUTOMOBILE,4548.46,MIDDLE EAST,49.00,0.06000000,4820.8062,1,9
609318,39581,O,14279.54,1998-08-01,2-HIGH,HOUSEHOLD,8944.03,AMERICA,12.00,0.06500000,941.2384,2,22
5071431,125935,O,89718.05,1998-08-01,1-URGENT,FURNITURE,8851.11,AMERICA,60.00,0.05500000,5017.3188,2,23
5378951,135475,O,281531.97,1998-08-01,5-LOW,MACHINERY,2610.15,ASIA,196.00,0.03857143,9006.1007,7,26
313830,109894,O,124237.43,1998-08-01,2-HIGH,AUTOMOBILE,-367.38,ASIA,84.00,0.06200000,8894.7486,5,28
301187,123889,O,97422.88,1998-08-01,3-MEDIUM,FURNITURE,6835.07,ASIA,70.00,0.02666667,1025.3472,3,25
497153,99263,O,130556.46,1998-08-01,2-HIGH,AUTOMOBILE,6439.74,MIDDLE EAST,93.00,0.08000000,11246.5332,4,26
3459937,99700,O,65184.85,1998-08-01,4-NOT SPECIFIED,FURNITURE,8072.94,AMERICA,44.00,0.09000000,6139.8612,1,2
3221826,101062,O,329120.94,1998-08-01,2-HIGH,BUILDING,5629.95,MIDDLE EAST,211.00,0.03571429,11146.6391,7,26
1964004,130231,O,50201.04,1998-08-01,1-URGENT,BUILDING,2975.27,ASIA,38.00,0.04000000,1936.7688,1,13
4161734,17141,O,157878.51,1998-08-01,1-URGENT,BUILDING,6258.23,MIDDLE EAST,101.00,0.07000000,8836.6278,6,18
2478338,110803,O,178186.59,1998-08-01,4-NOT SPECIFIED,BUILDING,8756.39,ASIA,129.00,0.02600000,4877.8528,5,28
852229,114005,O,61837.78,1998-08-01,5-LOW,BUILDING,7984.87,AMERICA,35.00,0.02000000,1251.3170,2,18
1418885,16948,O,213684.08,1998-08-01,5-LOW,FURNITURE,1765.53,AMERICA,143.00,0.03500000,4975.6673,6,29
1687200,47737,O,60707.34,1998-08-01,5-LOW,MACHINERY,7647.11,ASIA,31.00,0.05000000,1233.9390,2,30
5235527,69197,O,59070.37,1998-08-01,2-HIGH,BUILDING,3984.11,EUROPE,50.00,0.09000000,5842.1250,1,29
541702,9142,O,132787.49,1998-08-01,1-URGENT,AUTOMOBILE,409.26,MIDDLE EAST,80.00,0.06000000,8242.0000,2,23
4555521,11866,O,33458.01,1998-08-01,4-NOT SPECIFIED,MACHINERY,3380.37,EUROPE,32.00,0.05000000,1596.8430,2,9
4728833,51209,O,185427.73,1998-08-01,5-LOW,MACHINERY,5373.43,AMERICA,113.00,0.06000000,9852.2573,5,30
4785574,39839,O,30583.92,1998-08-01,4-NOT SPECIFIED,FURNITURE,-960.06,MIDDLE EAST,16.00,0.04000000,1190.9632,1,17
2064070,42346,O,236414.62,1998-08-01,1-URGENT,AUTOMOBILE,5993.32,EUROPE,137.00,0.04285714,6957.1902,7,29
2207908,83407,O,38312.18,1998-08-01,5-LOW,MACHINERY,9785.58,AMERICA,28.00,0.05600000,2191.7480,5,25
3969858,144034,O,69588.10,1998-08-01,2-HIGH,MACHINERY,2290.70,AMERICA,43.00,0.03500000,2664.5908,2,18
4094082,117673,O,175685.66,1998-08-01,3-MEDIUM,HOUSEHOLD,3175.69,EUROPE,134.00,0.04500000,6615.2810,4,24
5482563,26233,O,44595.89,1998-08-01,5-LOW,AUTOMOBILE,8967.17,AMERICA,26.00,0.03500000,1977.4065,2,16
5975844,121397,O,13308.51,1998-08-01,3-MEDIUM,MACHINERY,-379.74,AFRICA,9.00,0.03666667,148.6579,3,16
1382375,13586,O,83165.62,1998-08-01,3-MEDIUM,MACHINERY,2059.24,ASIA,49.00,0.03666667,4668.5397,3,24
1628999,132482,O,241562.14,1998-08-01,3-MEDIUM,BUILDING,2852.10,ASIA,169.00,0.07285714,16305.6514,7,30
5099297,88177,O,313624.08,1998-08-01,3-MEDIUM,BUILDING,9043.31,MIDDLE EAST,202.00,0.04166667,12071.3707,6,28
299747,119080,O,199494.79,1998-08-01,1-URGENT,HOUSEHOLD,5194.61,ASIA,140.00,0.04333333,8871.1655,6,27
452128,1073,O,129168.00,1998-08-01,5-LOW,BUILDING,8217.23,MIDDLE EAST,96.00,0.03750000,4800.7134,4,20
1979813,68344,O,202023.19,1998-08-01,4-NOT SPECIFIED,FURNITURE,2052.69,ASIA,114.00,0.07000000,15109.1690,3,26
5657446,43067,O,196781.59,1998-08-01,2-HIGH,MACHINERY,1380.48,AFRICA,128.00,0.04166667,6693.9908,6,27
1147649,72551,O,193049.61,1998-08-01,5-LOW,AUTOMOBILE,3306.36,ASIA,149.00,0.05800000,11656.4602,5,24
1494502,55475,O,56896.00,1998-08-01,2-HIGH,FURNITURE,4415.68,EUROPE,35.00,0E-8,0.0000,1,18
5100708,8518,O,306893.12,1998-08-01,2-HIGH,MACHINERY,5919.67,ASIA,233.00,0.05000000,14633.9647,6,30
3480964,127726,O,235077.00,1998-08-01,2-HIGH,AUTOMOBILE,-536.26,EUROPE,158.00,0.04000000,12298.1530,5,26
3862016,52247,O,197679.74,1998-08-01,4-NOT SPECIFIED,BUILDING,6868.00,ASIA,140.00,0.04250000,9655.0725,4,25
4134690,26140,O,80431.00,1998-08-01,3-MEDIUM,FURNITURE,6988.01,AFRICA,50.00,0E-8,0.0000,1,29
1773063,10262,O,46185.07,1998-08-01,1-URGENT,BUILDING,1424.19,AFRICA,35.00,0.07000000,3310.7585,1,7
4164167,59984,O,30376.84,1998-08-01,2-HIGH,MACHINERY,1775.88,EUROPE,23.00,0.08000000,2445.8016,1,6
869218,59551,O,115496.53,1998-08-01,5-LOW,FURNITURE,2637.42,EUROPE,101.00,0.03166667,2358.7953,6,27
1168481,124075,O,87009.07,1998-08-01,2-HIGH,BUILDING,8448.15,MIDDLE EAST,62.00,0.01500000,1492.2483,2,19
1201888,145864,O,330078.87,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,-187.17,ASIA,207.00,0.04285714,13727.1669,7,24
1252673,81796,O,251670.16,1998-08-01,3-MEDIUM,BUILDING,4451.16,ASIA,170.00,0.04333333,7960.2650,6,23
283106,141550,O,173076.26,1998-08-01,2-HIGH,HOUSEHOLD,710.57,MIDDLE EAST,114.00,0.05200000,9533.0189,5,27
4271808,102356,O,187552.70,1998-08-01,4-NOT SPECIFIED,FURNITURE,8730.07,ASIA,135.00,0.06428571,13126.5526,7,28
3451076,25645,O,113945.03,1998-08-01,1-URGENT,BUILDING,-244.46,AMERICA,73.00,0.06000000,5924.9028,4,24
4099780,1315,O,239132.54,1998-08-01,2-HIGH,AUTOMOBILE,1447.84,MIDDLE EAST,172.00,0.07000000,18165.3674,7,28
4198502,122333,O,230901.57,1998-08-01,4-NOT SPECIFIED,BUILDING,5296.90,EUROPE,154.00,0.04428571,10638.5935,7,23
2421476,106826,O,55695.38,1998-08-01,2-HIGH,HOUSEHOLD,1650.04,AMERICA,29.00,0.04000000,3200.2882,2,22
2622275,102074,O,230612.73,1998-08-01,5-LOW,BUILDING,920.68,EUROPE,149.00,0.04857143,11044.1812,7,26
1545219,66557,O,94032.90,1998-08-01,5-LOW,MACHINERY,9233.94,MIDDLE EAST,48.00,0.08000000,7787.4048,1,7
1559491,68809,O,25818.96,1998-08-01,2-HIGH,FURNITURE,7930.64,ASIA,14.00,0.01000000,260.7976,1,29
1566945,130240,O,124852.36,1998-08-01,1-URGENT,FURNITURE,9836.39,AMERICA,94.00,0.06250000,5553.2258,4,26
1680101,31346,O,136868.14,1998-08-01,1-URGENT,BUILDING,74.03,MIDDLE EAST,85.00,0.05500000,8444.4506,4,18
4862498,31048,O,162577.05,1998-08-01,4-NOT SPECIFIED,FURNITURE,3329.90,ASIA,122.00,0.04500000,7532.3149,4,26
312259,10138,O,113724.48,1998-08-01,2-HIGH,AUTOMOBILE,2142.86,AFRICA,77.00,0.06500000,5972.2034,4,18
594438,71129,O,359149.24,1998-08-01,5-LOW,HOUSEHOLD,4338.03,AMERICA,206.00,0.06142857,23355.7630,7,27
3212481,19156,O,97354.19,1998-08-01,2-HIGH,FURNITURE,5802.40,EUROPE,57.00,0.06500000,6648.4960,2,22
3317891,144812,O,143271.77,1998-08-01,1-URGENT,HOUSEHOLD,7286.31,EUROPE,105.00,0.07750000,10973.8691,4,20
3724864,137686,O,6995.72,1998-08-01,4-NOT SPECIFIED,HOUSEHOLD,7560.19,MIDDLE EAST,6.00,0.05000000,368.1960,1,19
5712068,60901,O,120894.47,1998-08-01,1-URGENT,FURNITURE,5954.22,AMERICA,84.00,0.01000000,1049.8716,4,29
5777252,32807,O,386548.19,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,5532.40,AFRICA,223.00,0.06857143,25633.3822,7,30
2495714,23713,O,82141.68,1998-08-01,2-HIGH,MACHINERY,4388.54,AMERICA,55.00,0.05000000,4983.3520,3,20
2614562,82148,O,26326.46,1998-08-01,5-LOW,FURNITURE,5179.41,MIDDLE EAST,19.00,0.04000000,1058.7752,2,23
2868994,145355,O,80810.76,1998-08-01,2-HIGH,HOUSEHOLD,5986.97,AFRICA,59.00,0.04250000,2736.9853,4,29
2925508,108449,O,224144.09,1998-08-01,5-LOW,BUILDING,1983.28,AFRICA,169.00,0.05285714,11135.7306,7,25
1160775,48082,O,224158.97,1998-08-01,4-NOT SPECIFIED,AUTOMOBILE,576.31,AMERICA,146.00,0.07428571,19485.4584,7,30
1055138,125566,O,238430.41,1998-08-01,4-NOT SPECIFIED,BUILDING,2365.84,AFRICA,163.00,0.05714286,16700.5888,7,20
1632261,48622,O,246086.05,1998-08-01,3-MEDIUM,HOUSEHOLD,5366.76,ASIA,166.00,0.04400000,8337.8256,5,24
5046305,14966,O,57135.67,1998-08-01,1-URGENT,MACHINERY,6266.56,MIDDLE EAST,36.00,0.04000000,3473.7064,2,21
394946,120922,O,184578.74,1998-08-01,3-MEDIUM,MACHINERY,2392.02,AFRICA,115.00,0.03000000,6401.7941,3,25
