O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK
5653600,13099,O,169874.56,1998-08-01,4-NOT SPECIFIED,Clerk#000000085
5657446,43067,O,196781.59,1998-08-01,2-HIGH,Clerk#000000871
5666144,57337,O,300237.17,1998-08-01,3-MEDIUM,Clerk#000000985
5676068,122483,O,195381.07,1998-08-01,3-MEDIUM,Clerk#000000777
5701223,146672,O,151071.49,1998-08-01,5-LOW,Clerk#000000373
5707686,135299,O,81640.06,1998-08-01,3-MEDIUM,Clerk#000000282
5709920,77755,O,35239.16,1998-08-01,5-LOW,Clerk#000000327
5712068,60901,O,120894.47,1998-08-01,1-URGENT,Clerk#000000469
5714017,115597,O,215351.46,1998-08-01,1-URGENT,Clerk#000000738
5732738,7586,O,262899.54,1998-08-01,1-URGENT,Clerk#000000901
5736000,118435,O,48144.70,1998-08-01,1-URGENT,Clerk#000000496
5749379,71435,O,100395.44,1998-08-01,4-NOT SPECIFIED,Clerk#000000939
5777252,32807,O,386548.19,1998-08-01,4-NOT SPECIFIED,Clerk#000000519
5790851,62618,O,72613.28,1998-08-01,3-MEDIUM,Clerk#000000350
5790886,63292,O,269043.77,1998-08-01,4-NOT SPECIFIED,Clerk#000000684
5799237,17332,O,66387.08,1998-08-01,1-URGENT,Clerk#000000049
5801955,73339,O,168992.60,1998-08-01,4-NOT SPECIFIED,Clerk#000000697
5802529,74785,O,48217.61,1998-08-01,2-HIGH,Clerk#000000304
5811360,137765,O,140809.92,1998-08-01,1-URGENT,Clerk#000000029
5828359,99850,O,348497.68,1998-08-01,5-LOW,Clerk#000000700
5834304,49828,O,167055.42,1998-08-01,4-NOT SPECIFIED,Clerk#000000343
5836000,62776,O,89858.31,1998-08-01,5-LOW,Clerk#000000985
5842983,24188,O,20436.51,1998-08-01,4-NOT SPECIFIED,Clerk#000000047
5858720,61117,O,430942.94,1998-08-01,3-MEDIUM,Clerk#000000488
5869031,132937,O,60855.96,1998-08-01,4-NOT SPECIFIED,Clerk#000000741
5892545,31793,O,366141.39,1998-08-01,4-NOT SPECIFIED,Clerk#000000545
5901315,25090,O,78072.19,1998-08-01,2-HIGH,Clerk#000000475
5910693,24205,O,314123.37,1998-08-01,2-HIGH,Clerk#000000132
5937379,23144,O,70141.20,1998-08-01,4-NOT SPECIFIED,Clerk#000000271
5939139,23822,O,222506.74,1998-08-01,5-LOW,Clerk#000000413
5969766,141659,O,327293.67,1998-08-01,2-HIGH,Clerk#000000887
5971239,43669,O,14302.82,1998-08-01,3-MEDIUM,Clerk#000000866
5975844,121397,O,13308.51,1998-08-01,3-MEDIUM,Clerk#000000849
3601572,8120,O,295179.00,1998-08-01,1-URGENT,Clerk#000000731
3607367,65683,O,149736.53,1998-08-01,4-NOT SPECIFIED,Clerk#000000431
3617575,2368,O,62118.46,1998-08-01,1-URGENT,Clerk#000000360
3619364,57775,O,37436.39,1998-08-01,4-NOT SPECIFIED,Clerk#000000105
3630816,90664,O,66637.37,1998-08-01,2-HIGH,Clerk#000000798
3679621,46672,O,212219.19,1998-08-01,4-NOT SPECIFIED,Clerk#000000241
3690691,42421,O,370307.15,1998-08-01,3-MEDIUM,Clerk#000000064
3696998,53620,O,179957.85,1998-08-01,5-LOW,Clerk#000000472
3711556,77446,O,50321.75,1998-08-01,1-URGENT,Clerk#000000480
3711973,88687,O,41885.60,1998-08-01,3-MEDIUM,Clerk#000000637
3724864,137686,O,6995.72,1998-08-01,4-NOT SPECIFIED,Clerk#000000138
3726849,149129,O,132347.20,1998-08-01,5-LOW,Clerk#000000192
3731207,94174,O,215191.00,1998-08-01,5-LOW,Clerk#000000808
3755265,105967,O,25118.23,1998-08-01,4-NOT SPECIFIED,Clerk#000000494
3770819,149056,O,142173.24,1998-08-01,3-MEDIUM,Clerk#000000321
3797283,133927,O,175764.84,1998-08-01,4-NOT SPECIFIED,Clerk#000000042
3807782,35702,O,301241.13,1998-08-01,4-NOT SPECIFIED,Clerk#000000790
3813575,128599,O,324020.77,1998-08-01,2-HIGH,Clerk#000000955
3822756,107393,O,222241.26,1998-08-01,1-URGENT,Clerk#000000604
3825254,122008,O,330681.26,1998-08-01,4-NOT SPECIFIED,Clerk#000000826
3834661,44227,O,269684.38,1998-08-01,1-URGENT,Clerk#000000066
3836612,72739,O,186567.67,1998-08-01,3-MEDIUM,Clerk#000000280
3843460,56444,O,225777.95,1998-08-01,3-MEDIUM,Clerk#000000237
3846179,7012,O,59429.90,1998-08-01,5-LOW,Clerk#000000882
3853412,49322,O,142530.85,1998-08-01,4-NOT SPECIFIED,Clerk#000000838
3854240,134743,O,175561.04,1998-08-01,3-MEDIUM,Clerk#000000394
3854403,29006,O,150748.66,1998-08-01,2-HIGH,Clerk#000000142
3862016,52247,O,197679.74,1998-08-01,4-NOT SPECIFIED,Clerk#000000452
3869925,76903,O,378379.46,1998-08-01,2-HIGH,Clerk#000000933
3876963,105043,O,182387.16,1998-08-01,4-NOT SPECIFIED,Clerk#000000577
3881252,120316,O,235301.95,1998-08-01,4-NOT SPECIFIED,Clerk#000000765
3890081,29087,O,183722.16,1998-08-01,3-MEDIUM,Clerk#000000593
3898786,143357,O,27088.11,1998-08-01,5-LOW,Clerk#000000590
3902724,146959,O,209277.12,1998-08-01,4-NOT SPECIFIED,Clerk#000000685
3914177,42466,O,37825.58,1998-08-01,5-LOW,Clerk#000000225
3956102,80350,O,190154.25,1998-08-01,2-HIGH,Clerk#000000302
3965861,8926,O,154689.45,1998-08-01,3-MEDIUM,Clerk#000000054
3968452,22097,O,186118.22,1998-08-01,1-URGENT,Clerk#000000697
3969858,144034,O,69588.10,1998-08-01,2-HIGH,Clerk#000000154
3983143,24490,O,76957.35,1998-08-01,5-LOW,Clerk#000000792
3984932,32576,O,188671.27,1998-08-01,1-URGENT,Clerk#000000297
3990560,15013,O,296238.74,1998-08-01,1-URGENT,Clerk#000000871
4016676,94543,O,198444.42,1998-08-01,3-MEDIUM,Clerk#000000232
4070086,47698,O,220792.12,1998-08-01,1-URGENT,Clerk#000000070
4072167,53815,O,52346.45,1998-08-01,1-URGENT,Clerk#000000515
4077952,71665,O,277241.70,1998-08-01,1-URGENT,Clerk#000000032
4078016,56815,O,48835.13,1998-08-01,2-HIGH,Clerk#000000927
4082311,2050,O,145774.56,1998-08-01,5-LOW,Clerk#000000962
4087744,63572,O,103884.27,1998-08-01,2-HIGH,Clerk#000000289
4094082,117673,O,175685.66,1998-08-01,3-MEDIUM,Clerk#000000885
4099106,90922,O,266298.00,1998-08-01,1-URGENT,Clerk#000000997
4099780,1315,O,239132.54,1998-08-01,2-HIGH,Clerk#000000115
4105890,7987,O,269250.69,1998-08-01,1-URGENT,Clerk#000000585
4112099,74686,O,35106.71,1998-08-01,3-MEDIUM,Clerk#000000750
4119879,148768,O,206925.42,1998-08-01,3-MEDIUM,Clerk#000000779
4124867,37498,O,279878.87,1998-08-01,5-LOW,Clerk#000000763
4134690,26140,O,80431.00,1998-08-01,3-MEDIUM,Clerk#000000325
4146117,116216,O,92374.30,1998-08-01,1-URGENT,Clerk#000000698
4147968,83395,O,96289.55,1998-08-01,1-URGENT,Clerk#000000261
4161734,17141,O,157878.51,1998-08-01,1-URGENT,Clerk#000000098
4163872,114535,O,185887.47,1998-08-01,1-URGENT,Clerk#000000482
4164167,59984,O,30376.84,1998-08-01,2-HIGH,Clerk#000000352
4166692,66359,O,168018.85,1998-08-01,2-HIGH,Clerk#000000261
4172196,98671,O,287895.13,1998-08-01,3-MEDIUM,Clerk#000000192
4174119,16582,O,46417.50,1998-08-01,3-MEDIUM,Clerk#000000935
4198502,122333,O,230901.57,1998-08-01,4-NOT SPECIFIED,Clerk#000000977
3017991,104897,O,162261.89,1998-08-01,1-URGENT,Clerk#000000348
3045024,135439,O,287030.61,1998-08-01,5-LOW,Clerk#000000052
3058497,97546,O,200822.51,1998-08-01,5-LOW,Clerk#000000910
3060705,90455,O,218957.91,1998-08-01,2-HIGH,Clerk#000000331
3074181,72736,O,164714.74,1998-08-01,4-NOT SPECIFIED,Clerk#000000353
3082566,6844,O,90303.57,1998-08-01,2-HIGH,Clerk#000000255
3083459,45001,O,144220.21,1998-08-01,5-LOW,Clerk#000000752
3095333,17737,O,255085.33,1998-08-01,3-MEDIUM,Clerk#000000340
3101572,134887,O,132782.86,1998-08-01,1-URGENT,Clerk#000000623
3105600,43813,O,162955.92,1998-08-01,5-LOW,Clerk#000000444
3107490,115394,O,184369.15,1998-08-01,3-MEDIUM,Clerk#000000244
3126721,110495,O,109620.42,1998-08-01,5-LOW,Clerk#000000964
3134885,131176,O,260114.72,1998-08-01,4-NOT SPECIFIED,Clerk#000000817
3145890,66652,O,66833.05,1998-08-01,1-URGENT,Clerk#000000629
3147874,61531,O,88567.62,1998-08-01,2-HIGH,Clerk#000000678
3152452,115639,O,257319.39,1998-08-01,1-URGENT,Clerk#000000753
3155427,6206,O,277396.32,1998-08-01,5-LOW,Clerk#000000513
3203941,53930,O,88475.10,1998-08-01,2-HIGH,Clerk#000000099
3212481,19156,O,97354.19,1998-08-01,2-HIGH,Clerk#000000136
3216166,100474,O,104244.89,1998-08-01,5-LOW,Clerk#000000350
3220960,19016,O,195899.67,1998-08-01,1-URGENT,Clerk#000000880
3221826,101062,O,329120.94,1998-08-01,2-HIGH,Clerk#000000324
3227110,9926,O,210433.94,1998-08-01,3-MEDIUM,Clerk#000000219
3227845,74515,O,26032.56,1998-08-01,1-URGENT,Clerk#000000462
3229409,69821,O,356462.19,1998-08-01,1-URGENT,Clerk#000000769
3230560,115876,O,203083.78,1998-08-01,1-URGENT,Clerk#000000297
3233223,104054,O,202847.29,1998-08-01,1-URGENT,Clerk#000000534
3259040,146467,O,172687.99,1998-08-01,1-URGENT,Clerk#000000787
3270149,19429,O,188288.76,1998-08-01,3-MEDIUM,Clerk#000000538
3288672,92945,O,194761.72,1998-08-01,4-NOT SPECIFIED,Clerk#000000697
3296038,26461,O,34169.61,1998-08-01,5-LOW,Clerk#000000586
3301090,15859,O,298570.60,1998-08-01,1-URGENT,Clerk#000000300
3317891,144812,O,143271.77,1998-08-01,1-URGENT,Clerk#000000896
3327619,109822,O,177775.03,1998-08-01,3-MEDIUM,Clerk#000000612
3344932,136591,O,107562.15,1998-08-01,5-LOW,Clerk#000000980
3349345,144413,O,219666.59,1998-08-01,4-NOT SPECIFIED,Clerk#000000661
3369248,15418,O,338986.28,1998-08-01,5-LOW,Clerk#000000831
3395009,74947,O,71853.69,1998-08-01,2-HIGH,Clerk#000000215
3396898,52160,O,200538.20,1998-08-01,4-NOT SPECIFIED,Clerk#000000459
3417540,80509,O,174168.46,1998-08-01,4-NOT SPECIFIED,Clerk#000000267
3436352,9743,O,174563.28,1998-08-01,5-LOW,Clerk#000000553
3444390,78188,O,2705.82,1998-08-01,2-HIGH,Clerk#000000043
3445059,63115,O,137099.89,1998-08-01,4-NOT SPECIFIED,Clerk#000000257
3451076,25645,O,113945.03,1998-08-01,1-URGENT,Clerk#000000849
3459937,99700,O,65184.85,1998-08-01,4-NOT SPECIFIED,Clerk#000000333
3465989,35323,O,37388.11,1998-08-01,2-HIGH,Clerk#000000034
3480964,127726,O,235077.00,1998-08-01,2-HIGH,Clerk#000000687
3481412,49735,O,108451.11,1998-08-01,2-HIGH,Clerk#000000414
3483879,44920,O,125069.03,1998-08-01,1-URGENT,Clerk#000000329
3492259,130285,O,49153.62,1998-08-01,2-HIGH,Clerk#000000364
3516288,56686,O,250699.08,1998-08-01,3-MEDIUM,Clerk#000000085
3519047,124877,O,209814.24,1998-08-01,3-MEDIUM,Clerk#000000735
3523008,114376,O,131444.02,1998-08-01,4-NOT SPECIFIED,Clerk#000000618
3526755,16972,O,183849.31,1998-08-01,3-MEDIUM,Clerk#000000122
3526758,11026,O,102347.01,1998-08-01,1-URGENT,Clerk#000000653
3527584,5017,O,224722.26,1998-08-01,3-MEDIUM,Clerk#000000159
3541184,63823,O,52342.51,1998-08-01,2-HIGH,Clerk#000000871
3541604,89005,O,244828.01,1998-08-01,3-MEDIUM,Clerk#000000384
3547712,105359,O,104206.53,1998-08-01,2-HIGH,Clerk#000000389
3554405,109786,O,279306.27,1998-08-01,4-NOT SPECIFIED,Clerk#000000167
3554694,139717,O,134601.93,1998-08-01,1-URGENT,Clerk#000000692
3559205,17275,O,122400.21,1998-08-01,5-LOW,Clerk#000000730
3566784,73193,O,105482.88,1998-08-01,3-MEDIUM,Clerk#000000522
3572066,139252,O,246707.12,1998-08-01,1-URGENT,Clerk#000000238
3577024,78625,O,1466.22,1998-08-01,3-MEDIUM,Clerk#000000237
3597633,10738,O,16227.67,1998-08-01,1-URGENT,Clerk#000000213
1201888,145864,O,330078.87,1998-08-01,4-NOT SPECIFIED,Clerk#000000526
1218118,121427,O,218944.26,1998-08-01,3-MEDIUM,Clerk#000000540
1223200,90179,O,113223.20,1998-08-01,1-URGENT,Clerk#000000700
1231874,27082,O,317213.55,1998-08-01,2-HIGH,Clerk#000000290
1236355,142075,O,272006.51,1998-08-01,5-LOW,Clerk#000000655
1238051,88474,O,228235.08,1998-08-01,2-HIGH,Clerk#000000077
1245347,111421,O,44361.39,1998-08-01,4-NOT SPECIFIED,Clerk#000000579
1252481,24481,O,68678.34,1998-08-01,5-LOW,Clerk#000000544
1252673,81796,O,251670.16,1998-08-01,3-MEDIUM,Clerk#000000240
1262566,97261,O,93973.72,1998-08-01,4-NOT SPECIFIED,Clerk#000000030
1270279,80170,O,118171.79,1998-08-01,4-NOT SPECIFIED,Clerk#000000077
1291907,110303,O,239494.97,1998-08-01,2-HIGH,Clerk#000000316
1301408,142736,O,52179.69,1998-08-01,1-URGENT,Clerk#000000667
1320388,100570,O,257181.41,1998-08-01,1-URGENT,Clerk#000000591
1337191,77221,O,26752.23,1998-08-01,1-URGENT,Clerk#000000763
1361156,57457,O,231762.66,1998-08-01,2-HIGH,Clerk#000000330
1361191,99278,O,176118.58,1998-08-01,3-MEDIUM,Clerk#000000591
1373477,23584,O,49167.12,1998-08-01,3-MEDIUM,Clerk#000000089
1379782,146129,O,74976.03,1998-08-01,4-NOT SPECIFIED,Clerk#000000395
1382375,13586,O,83165.62,1998-08-01,3-MEDIUM,Clerk#000000844
1392519,72157,O,179444.74,1998-08-01,4-NOT SPECIFIED,Clerk#000000545
1402881,76751,O,235885.06,1998-08-01,1-URGENT,Clerk#000000602
1418885,16948,O,213684.08,1998-08-01,5-LOW,Clerk#000000403
1420064,78880,O,96053.19,1998-08-01,5-LOW,Clerk#000000792
1431173,94823,O,62613.62,1998-08-01,4-NOT SPECIFIED,Clerk#000000056
1433894,29729,O,63849.19,1998-08-01,3-MEDIUM,Clerk#000000611
1442339,7403,O,149392.30,1998-08-01,4-NOT SPECIFIED,Clerk#000000152
1442598,36319,O,56180.27,1998-08-01,5-LOW,Clerk#000000474
1443040,142448,O,354465.65,1998-08-01,4-NOT SPECIFIED,Clerk#000000960
1451300,42865,O,135258.26,1998-08-01,1-URGENT,Clerk#000000543
1454213,124960,O,165523.78,1998-08-01,3-MEDIUM,Clerk#000000287
1464288,146560,O,99376.05,1998-08-01,2-HIGH,Clerk#000000313
1486273,98548,O,68659.67,1998-08-01,4-NOT SPECIFIED,Clerk#000000020
1494502,55475,O,56896.00,1998-08-01,2-HIGH,Clerk#000000727
1500740,91192,O,236468.18,1998-08-01,5-LOW,Clerk#000000792
1522274,37850,O,226267.76,1998-08-01,1-URGENT,Clerk#000000028
1530564,52471,O,152562.00,1998-08-01,3-MEDIUM,Clerk#000000169
1545219,66557,O,94032.90,1998-08-01,5-LOW,Clerk#000000451
1553889,93773,O,257033.36,1998-08-01,2-HIGH,Clerk#000000958
1559491,68809,O,25818.96,1998-08-01,2-HIGH,Clerk#000000410
1566277,98077,O,182457.28,1998-08-01,1-URGENT,Clerk#000000813
1566945,130240,O,124852.36,1998-08-01,1-URGENT,Clerk#000000505
1570822,21292,O,138562.52,1998-08-01,1-URGENT,Clerk#000000593
1578117,37333,O,148076.81,1998-08-01,1-URGENT,Clerk#000000577
1587715,87209,O,55221.54,1998-08-01,2-HIGH,Clerk#000000659
1628290,37880,O,197111.98,1998-08-01,4-NOT SPECIFIED,Clerk#000000050
1628999,132482,O,241562.14,1998-08-01,3-MEDIUM,Clerk#000000719
1632261,48622,O,246086.05,1998-08-01,3-MEDIUM,Clerk#000000290
1644833,57428,O,37626.75,1998-08-01,2-HIGH,Clerk#000000868
1645505,36916,O,289104.25,1998-08-01,2-HIGH,Clerk#000000431
1670981,132011,O,135520.72,1998-08-01,2-HIGH,Clerk#000000695
1680101,31346,O,136868.14,1998-08-01,1-URGENT,Clerk#000000625
1687200,47737,O,60707.34,1998-08-01,5-LOW,Clerk#000000378
1688225,124579,O,318561.69,1998-08-01,2-HIGH,Clerk#000000183
1734757,46882,O,171838.72,1998-08-01,1-URGENT,Clerk#000000103
1773063,10262,O,46185.07,1998-08-01,1-URGENT,Clerk#000000647
1799683,112243,O,144068.36,1998-08-01,3-MEDIUM,Clerk#000000335
4202340,14890,O,180900.02,1998-08-01,2-HIGH,Clerk#000000571
4210785,140273,O,14622.04,1998-08-01,1-URGENT,Clerk#000000443
4217799,145417,O,107410.10,1998-08-01,1-URGENT,Clerk#000000818
4223041,100370,O,195016.33,1998-08-01,4-NOT SPECIFIED,Clerk#000000190
4262496,12070,O,65915.71,1998-08-01,3-MEDIUM,Clerk#000000696
4266372,138500,O,272964.25,1998-08-01,1-URGENT,Clerk#000000307
4268001,14023,O,142668.98,1998-08-01,1-URGENT,Clerk#000000919
4271808,102356,O,187552.70,1998-08-01,4-NOT SPECIFIED,Clerk#000000985
4272672,36019,O,170125.80,1998-08-01,2-HIGH,Clerk#000000490
4286022,133807,O,22517.07,1998-08-01,2-HIGH,Clerk#000000017
4299552,98861,O,195278.14,1998-08-01,1-URGENT,Clerk#000000226
4324708,135661,O,3279.27,1998-08-01,5-LOW,Clerk#000000172
4331206,138713,O,139992.15,1998-08-01,2-HIGH,Clerk#000000233
4339271,99679,O,291735.39,1998-08-01,1-URGENT,Clerk#000000707
4378436,21337,O,95748.00,1998-08-01,3-MEDIUM,Clerk#000000700
4392965,33658,O,243396.31,1998-08-01,5-LOW,Clerk#000000766
4397763,37025,O,101404.04,1998-08-01,2-HIGH,Clerk#000000344
4409029,73802,O,295914.69,1998-08-01,1-URGENT,Clerk#000000105
4411040,99643,O,150214.33,1998-08-01,3-MEDIUM,Clerk#000000280
4415552,67694,O,60801.58,1998-08-01,5-LOW,Clerk#000000376
4448933,109738,O,202343.48,1998-08-01,2-HIGH,Clerk#000000794
4464516,133892,O,135345.80,1998-08-01,5-LOW,Clerk#000000212
4468992,121115,O,125139.35,1998-08-01,2-HIGH,Clerk#000000546
4478530,96322,O,61712.69,1998-08-01,2-HIGH,Clerk#000000560
4499815,40249,O,45983.31,1998-08-01,5-LOW,Clerk#000000427
4507872,124561,O,93151.24,1998-08-01,2-HIGH,Clerk#000000318
4513159,141835,O,59667.33,1998-08-01,3-MEDIUM,Clerk#000000854
4514051,95486,O,276028.88,1998-08-01,2-HIGH,Clerk#000000463
4527749,128023,O,80832.42,1998-08-01,1-URGENT,Clerk#000000459
4529639,30668,O,171601.93,1998-08-01,2-HIGH,Clerk#000000263
4555521,11866,O,33458.01,1998-08-01,4-NOT SPECIFIED,Clerk#000000587
4567232,147460,O,59517.61,1998-08-01,5-LOW,Clerk#000000914
4579042,15983,O,284735.02,1998-08-01,3-MEDIUM,Clerk#000000784
4580965,133099,O,39879.98,1998-08-01,4-NOT SPECIFIED,Clerk#000000367
4598436,86533,O,216780.23,1998-08-01,4-NOT SPECIFIED,Clerk#000000177
4645058,124954,O,308784.91,1998-08-01,2-HIGH,Clerk#000000580
4663300,28240,O,50215.92,1998-08-01,3-MEDIUM,Clerk#000000823
4682915,63397,O,262177.96,1998-08-01,1-URGENT,Clerk#000000423
4683206,2500,O,103007.67,1998-08-01,2-HIGH,Clerk#000000460
4690340,124537,O,39505.70,1998-08-01,4-NOT SPECIFIED,Clerk#000000600
4695428,129472,O,162609.85,1998-08-01,1-URGENT,Clerk#000000673
4702499,141080,O,51743.98,1998-08-01,2-HIGH,Clerk#000000078
4709606,62108,O,190788.12,1998-08-01,3-MEDIUM,Clerk#000000652
4713060,37376,O,117251.39,1998-08-01,3-MEDIUM,Clerk#000000857
4728833,51209,O,185427.73,1998-08-01,5-LOW,Clerk#000000594
4749504,99452,O,15421.19,1998-08-01,1-URGENT,Clerk#000000760
4757254,139805,O,154229.84,1998-08-01,3-MEDIUM,Clerk#000000080
4758819,8263,O,322444.85,1998-08-01,2-HIGH,Clerk#000000565
4766695,62480,O,256396.33,1998-08-01,2-HIGH,Clerk#000000956
4785574,39839,O,30583.92,1998-08-01,4-NOT SPECIFIED,Clerk#000000347
4789188,46954,O,92091.91,1998-08-01,2-HIGH,Clerk#000000810
4789381,19292,O,208751.17,1998-08-01,4-NOT SPECIFIED,Clerk#000000428
2405312,34856,O,150731.16,1998-08-01,4-NOT SPECIFIED,Clerk#000000635
2408480,86,O,363272.33,1998-08-01,4-NOT SPECIFIED,Clerk#000000710
2415718,38410,O,63227.82,1998-08-01,3-MEDIUM,Clerk#000000788
2421476,106826,O,55695.38,1998-08-01,2-HIGH,Clerk#000000256
2424006,118598,O,98162.33,1998-08-01,2-HIGH,Clerk#000000499
2464224,77047,O,285832.36,1998-08-01,4-NOT SPECIFIED,Clerk#000000145
2472675,27952,O,124007.34,1998-08-01,3-MEDIUM,Clerk#000000282
2478338,110803,O,178186.59,1998-08-01,4-NOT SPECIFIED,Clerk#000000582
2479522,97189,O,299901.35,1998-08-01,2-HIGH,Clerk#000000158
